Total Subscriptions: 36
Subscription #1: user_id=30, plan_id=None, is_active=1
Subscription #2: user_id=30, plan_id=5, is_active=0
Subscription #3: user_id=31, plan_id=None, is_active=1
Subscription #4: user_id=31, plan_id=5, is_active=0
Subscription #5: user_id=32, plan_id=None, is_active=1
Subscription #6: user_id=32, plan_id=5, is_active=1
Subscription #15: user_id=38, plan_id=None, is_active=1
Subscription #21: user_id=44, plan_id=None, is_active=1
Subscription #22: user_id=45, plan_id=None, is_active=1
Subscription #23: user_id=46, plan_id=None, is_active=1
Subscription #24: user_id=47, plan_id=None, is_active=1
Subscription #25: user_id=48, plan_id=None, is_active=1
Subscription #26: user_id=49, plan_id=None, is_active=1
Subscription #35: user_id=58, plan_id=None, is_active=1
Subscription #56: user_id=79, plan_id=None, is_active=1
Subscription #57: user_id=80, plan_id=None, is_active=1
Subscription #94: user_id=114, plan_id=None, is_active=1
Subscription #95: user_id=115, plan_id=None, is_active=1
Subscription #118: user_id=8, plan_id=None, is_active=1
Subscription #131: user_id=145, plan_id=None, is_active=1
Subscription #134: user_id=148, plan_id=None, is_active=1
Subscription #135: user_id=149, plan_id=None, is_active=1
Subscription #136: user_id=150, plan_id=None, is_active=1
Subscription #137: user_id=151, plan_id=None, is_active=1
Subscription #138: user_id=152, plan_id=None, is_active=1
Subscription #139: user_id=153, plan_id=None, is_active=1
Subscription #140: user_id=154, plan_id=None, is_active=1
Subscription #141: user_id=155, plan_id=None, is_active=1
Subscription #142: user_id=156, plan_id=None, is_active=1
Subscription #143: user_id=157, plan_id=None, is_active=1
Subscription #153: user_id=158, plan_id=7, is_active=1
Subscription #154: user_id=158, plan_id=7, is_active=1
Subscription #155: user_id=160, plan_id=7, is_active=0
Subscription #156: user_id=160, plan_id=7, is_active=0
Subscription #157: user_id=161, plan_id=None, is_active=1
Subscription #158: user_id=162, plan_id=None, is_active=1
